Numero de soluciones: 333

Los valores de cada columna corresponden a R1, R2, R3, C4, C5, G, err(G), wp, err(wp), Qp, Err(Qp),SR1, SR2, SR3 y ST

   R1     R2    R3     C4     C5     G   err(G)    wp   err(wp)  Qp   Err(Qp)  SR1     SR2    SR3    ST
 9530  28700  2800 5.6e-08 5.6e-09 3.012 0.3847 6299.30 0.2564 0.7099 0.4098 0.2112 0.4299 0.2187 0.8598
34000 102000  9760 1.6e-08 1.6e-09 3.000 0.0000 6264.05 0.3046 0.7074 0.0606 0.2076 0.4308 0.2232 0.8616
22599  68100  6490 2.4e-08 2.4e-09 3.013 0.4425 6267.48 0.2500 0.7061 0.1211 0.2077 0.4311 0.2233 0.8621
 4220  12700  4320 6.2e-08 7.5e-09 3.009 0.3160 6260.80 0.3563 0.7094 0.3379 0.4331 0.3561 0.0770 0.8661
 5110  15400  5230 5.1e-08 6.2e-09 3.014 0.4566 6266.25 0.2695 0.7073 0.0413 0.4331 0.3563 0.0768 0.8662
 9530  28700 10000 2.7e-08 3.3e-09 3.012 0.3847 6253.46 0.4731 0.7042 0.3997 0.4376 0.3547 0.0829 0.8753
15800  47500  3830 3.9e-08 3.6e-09 3.006 0.2110 6257.06 0.4158 0.7064 0.0823 0.1832 0.4391 0.2558 0.8781
 9090  27400  2210 6.8e-08 6.2e-09 3.014 0.4767 6258.62 0.3910 0.7105 0.4949 0.1837 0.4391 0.2554 0.8781
25500  76800  6190 2.4e-08 2.2e-09 3.012 0.3922 6311.86 0.4563 0.7086 0.2229 0.1834 0.4391 0.2557 0.8782
 7500  22599  1820 8.2e-08 7.5e-09 3.013 0.4444 6287.42 0.0674 0.7091 0.3029 0.1834 0.4391 0.2557 0.8783
 5110  15400  1240 1.2e-07 1.1e-08 3.014 0.4566 6298.57 0.2448 0.7083 0.1858 0.1834 0.4391 0.2558 0.8783
51100 154000 12400 1.2e-08 1.1e-09 3.014 0.4566 6298.57 0.2448 0.7083 0.1858 0.1834 0.4391 0.2558 0.8783
 6980  21000  1620 9.1e-08 8.2e-09 3.009 0.2865 6276.32 0.1092 0.7067 0.0403 0.1773 0.4411 0.2638 0.8822
14700  44200  3400 4.3e-08 3.9e-09 3.007 0.2268 6299.16 0.2543 0.7040 0.4293 0.1768 0.4412 0.2644 0.8824
 3400  10200  3650 7.5e-08 9.1e-09 3.000 0.0000 6273.39 0.1559 0.7063 0.0954 0.4415 0.3528 0.0887 0.8831
 4120  12400  4420 6.2e-08 7.5e-09 3.010 0.3236 6264.00 0.3054 0.7066 0.0528 0.4416 0.3533 0.0884 0.8832
 4990  15000  5360 5.1e-08 6.2e-09 3.006 0.2004 6271.78 0.1815 0.7051 0.2678 0.4418 0.3530 0.0887 0.8835
 2550   7680  2740 1.0e-07 1.2e-08 3.012 0.3922 6292.94 0.1552 0.7092 0.3112 0.4420 0.3533 0.0887 0.8839
25500  76800 27400 1.0e-08 1.2e-09 3.012 0.3922 6292.94 0.1552 0.7092 0.3112 0.4420 0.3533 0.0887 0.8839
17800  53600  3650 3.9e-08 3.3e-09 3.011 0.3745 6302.05 0.3003 0.7046 0.3358 0.1611 0.4465 0.2855 0.8930
13700  41200  2800 5.1e-08 4.3e-09 3.007 0.2433 6287.14 0.0629 0.7056 0.1936 0.1606 0.4466 0.2860 0.8932
 7870  23700  1580 9.1e-08 7.5e-09 3.011 0.3812 6255.27 0.4443 0.7096 0.3694 0.1584 0.4474 0.2890 0.8948
 8660  26100  1740 8.2e-08 6.8e-09 3.014 0.4619 6284.11 0.0147 0.7073 0.0480 0.1585 0.4474 0.2889 0.8948
 9530  28700  1910 7.5e-08 6.2e-09 3.012 0.3847 6263.48 0.3136 0.7082 0.1670 0.1582 0.4475 0.2893 0.8949
10500  31600  2100 6.8e-08 5.6e-09 3.010 0.3175 6290.69 0.1195 0.7093 0.3268 0.1579 0.4475 0.2896 0.8951
